name,age,height,position,foot,current club,09/10 date,09/10 left,09/10 joined,09/10 mv,09/10 fee,10/11 date,10/11 left,10/11 joined,10/11 mv,10/11 fee,11/12 date,11/12 left,11/12 joined,11/12 mv,11/12 fee,12/13 date,12/13 left,12/13 joined,12/13 mv,12/13 fee,15/16 date,15/16 left,15/16 joined,15/16 mv,15/16 fee,17/18 date,17/18 left,17/18 joined,17/18 mv,17/18 fee,current league,01/02 date,01/02 left,01/02 joined,01/02 mv,01/02 fee,06/07 date,06/07 left,06/07 joined,06/07 mv,06/07 fee,14/15 date,14/15 left,14/15 joined,14/15 mv,14/15 fee,16/17 date,16/17 left,16/17 joined,16/17 mv,16/17 fee,03/04 date,03/04 left,03/04 joined,03/04 mv,03/04 fee,04/05 date,04/05 left,04/05 joined,04/05 mv,04/05 fee,05/06 date,05/06 left,05/06 joined,05/06 mv,05/06 fee,07/08 date,07/08 left,07/08 joined,07/08 mv,07/08 fee,08/09 date,08/09 left,08/09 joined,08/09 mv,08/09 fee,13/14 date,13/14 left,13/14 joined,13/14 mv,13/14 fee,19/20 date,19/20 left,19/20 joined,19/20 mv,19/20 fee,18/19 mv,18/19 date,18/19 left,18/19 joined,18/19 fee,02/03 date,02/03 left,02/03 joined,02/03 mv,02/03 fee,98/99 date,98/99 left,98/99 joined,98/99 mv,98/99 fee,99/00 date,99/00 left,99/00 joined,99/00 mv,99/00 fee,00/01 date,00/01 left,00/01 joined,00/01 mv,00/01 fee,97/98 date,97/98 left,97/98 joined,97/98 mv,97/98 fee
Eric Bailly,25,187.0,Defender - Centre-Back,right,Manchester United,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Premier League,,,,,,,,,,,"Jan 29, 2015Jul 1, 2014",EspanyolRCD Espanyol B,VillarrealEspanyol,,,"Jul 1, 2016",Villarreal,Man Utd,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jul 1, 2013",Espanyol U19,RCD Espanyol B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phil Jones,27,185.0,Defender - Centre-Back,right,Manchester United,"Jan 1, 2010Jul 1, 2009",Blackburn U21Blackburn U18,BlackburnBlackburn U21,,0,,,,,,"Jul 1, 2011",Blackburn,Man Utd,,"19,30 mil. €",,,,,,,,,,,,,,,,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jul 1, 2008",Blackburn Yth.,Blackburn U18,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcos Rojo,29,186.0,Defender - Centre-Back,left,Manchester United,,,,,,"Jan 1, 2011",Estudiantes,Spartak Moscow,,"2,00 mil. €",,,,,,"Jul 20, 2012",Spartak Moscow,Sporting CP,,"4,00 mil. €",,,,,,,,,,,Premier League,,,,,,,,,,,"Aug 20, 2014",Sporting CP,Man Utd,,"20,00 mil. €",,,,,,,,,,,,,,,,,,,,,,,,,,"Jan 1, 2009Jul 1, 2008",Estudiantes IIEstudiantes U20,EstudiantesEstudiantes II,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axel Tuanzebe,21,184.0,Defender - Centre-Back,right,Manchester United,,,,,,,,,,,,,,,,,,,,,,,,,,"May 31, 2018Jan 25, 2018",Aston VillaMan Utd,Man UtdAston Villa,"1,00 mil. €1,00 mil. €",End of loanLoan,Premier League,,,,,,,,,,,"Jul 1, 2014",Man Utd Youth,Man Utd U18,0,0,"Jan 1, 2017",Man Utd U18,Man Utd,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,00 mil. €1,00 mil. €","May 31, 2019Aug 6, 2018",Aston VillaMan Utd,Man UtdAston Villa,End of loanLoan,,,,,,,,,,,,,,,,,,,,,,,,,
Luke Shaw,24,181.0,Defender - Left-Back,left,Manchester United,,,,,,,,,,,,,,,,"Nov 1, 2012Jul 1, 2012",Southampton U21Southampton U18,SouthamptonSouthampton U21,0,0,,,,,,,,,,,Premier League,,,,,,,,,,,"Jul 1, 2014",Southampton,Man Utd,"13,00 mil. €","37,50 mil. €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashley Young,34,176.0,Defender - Left-Back,both,Manchester United,,,,,,,,,,,"Jul 1, 2011",Aston Villa,Man Utd,"18,00 mil. €","18,00 mil. €",,,,,,,,,,,,,,,,Premier League,,,,,,"Jan 23, 2007",Watford,Aston Villa,"6,50 mil. €","13,20 mil. €",,,,,,,,,,,"Jul 1, 2003",Watford U18,Watford,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Wan-Bissaka,21,183.0,Defender - Right-Back,right,Manchester United,,,,,,,,,,,,,,,,,,,,,,,,,,"Jan 1, 2018",Palace U23,Crystal Palace,0,0,Premier League,,,,,,,,,,,,,,,,"Jul 1, 2016",Palace U18,Palace U23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jul 1, 2019",Crystal Palace,Man Utd,"35,00 mil. €","55,00 mil. €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diogo Dalot,20,183.0,Defender - Right-Back,right,Manchester United,,,,,,,,,,,,,,,,"Jul 1, 2012",FC Porto Youth,FC Porto U15,0,0,"Jan 1, 2016Jul 1, 2015",FC Porto U17PFC Sub17,FC Porto U19FC Porto U17,0,0,"Feb 21, 2018",FC Porto B,FC Porto,600 K €,0,Premier League,,,,,,,,,,,"Jul 1, 2014",FC Porto U15,PFC Sub17,0,0,"Jan 1, 2017",FC Porto U19,FC Porto B,50 K €,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,00 mil. €","Jul 1, 2018",FC Porto,Man Utd,"22,00 mil. €",,,,,,,,,,,,,,,,,,,,,,,,,
Timothy Fosu-Mensah,21,190.0,Defender - Right-Back,right,Manchester United,,,,,,,,,,,,,,,,,,,,,"Jan 1, 2016",Man Utd U18,Man Utd,0,0,"May 31, 2018Aug 10, 2017",Crystal PalaceMan Utd,Man UtdCrystal Palace,"7,00 mil. €2,50 mil. €",End of loanLoan,Premier League,,,,,,"Jul 1, 2006",Zeeburgia Yth.,Ajax Amsterdam,0,Free transfer,"Sep 1, 2014",Ajax U17,Man Utd U18,0,380 K €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jan 1, 2014",Ajax Amsterdam,Ajax U17,0,0,,,,,,"7,00 mil. €7,00 mil. €","May 31, 2019Aug 9, 2018",FulhamMan Utd,Man UtdFulham,End of loanLoan,,,,,,,,,,,,,,,,,,,,,,,,,
Nemanja Matic,31,194.0,Midfielder - Defensive Midfield,left,Manchester United,"Aug 18, 2009",MFK Kosice,Chelsea,"1,50 mil. €","1,75 mil. €","Jun 30, 2011Aug 23, 2010",VitesseChelsea,ChelseaVitesse,"3,00 mil. €2,00 mil. €",End of loanLoan,"Jul 1, 2011",Chelsea,Benfica,"3,00 mil. €","5,00 mil. €",,,,,,,,,,,"Jul 31, 2017",Chelsea,Man Utd,"35,00 mil. €","44,70 mil. €",Premier League,,,,,,"Jan 1, 2007",Kolubara,MFK Kosice,0,Free transfer,,,,,,,,,,,,,,,,,,,,,"Jul 1, 2005",Jedinstvo Ub,Kolubara,0,Free transfer,,,,,,,,,,,"Jan 15, 2014",Benfica,Chelsea,"27,00 mil. €","25,00 mil. €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Pogba,26,191.0,Midfielder - Central Midfield,both,Manchester United,"Jul 1, 2009",Le Havre U19,Man Utd U18,0,?,,,,,,"Jan 1, 2012Jul 1, 2011",Man Utd U23Man Utd U18,Man UtdMan Utd U23,0,0,"Aug 3, 2012",Man Utd,Juventus,"3,50 mil. €",Free transfer,,,,,,,,,,,Premier League,,,,,,,,,,,,,,,,"Aug 9, 2016",Juventus,Man Utd,"70,00 mil. €","105,00 mil. €",,,,,,,,,,,,,,,,"Jul 1, 2007",US Torcy Yth.,Le Havre U19,0,Free transfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fred,26,169.0,Midfielder - Central Midfield,left,Manchester United,,,,,,,,,,,"May 1, 2012",Inter B,Internacional,0,0,,,,,,,,,,,,,,,,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jul 1, 2013",Internacional,Shakhtar D.,"5,00 mil. €","15,00 mil. €",,,,,,"32,00 mil. €","Jul 1, 2018",Shakhtar D.,Man Utd,"59,00 mil. €",,,,,,,,,,,,,,,,,,,,,,,,,
Scott McTominay,22,190.0,Midfielder - Central Midfield,right,Manchester United,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,0.0,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juan Mata,31,170.0,Midfielder - Attacking Midfield,left,Manchester United,,,,,,,,,,,"Aug 24, 2011",Valencia,Chelsea,"26,00 mil. €","26,70 mil. €",,,,,,,,,,,,,,,,Premier League,,,,,,"Jul 1, 2006",Real Madrid U19,RM Castilla,0,0,,,,,,,,,,,"Jul 1, 2003",Real Oviedo You,R. Madrid U17,0.0,Free transfer,,,,,,"Jul 1, 2005",R. Madrid U17,Real Madrid U19,0,0,"Jul 1, 2007",RM Castilla,Valencia,"1,10 mil. €",Free transfer,,,,,,"Jan 24, 2014",Chelsea,Man Utd,"38,00 mil. €","44,73 mil. €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andreas Pereira,23,178.0,Midfielder - Attacking Midfield,right,Manchester United,,,,,,,,,,,"Jan 1, 2012Jul 1, 2011",PSV U17PSV Eindhoven Y,Man Utd U18PSV U17,0,,,,,,,"Jul 1, 2015",Man Utd U23,Man Utd,500 K €,,"Jun 30, 2018Sep 1, 2017",ValenciaMan Utd,Man UtdValencia,"6,00 mil. €5,00 mil. €",,Premier League,,,,,,,,,,,,,,,,"Jun 30, 2017Aug 26, 2016",Granada CFMan Utd,Man UtdGranada CF,"5,00 mil. €2,00 mil. €",,,,,,,,,,,,"Jul 1, 2005",Lommel SK Yth,PSV Eindhoven Y,0,,,,,,,,,,,,"Jul 1, 2013",Man Utd U18,Man Utd U23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Martial,23,183.0,Forward - Left Winger,right,Manchester United,,,,,,,,,,,,,,,,"Jul 1, 2012",Olymp. Lyon U19,Olymp. Lyon B,0,0,"Sep 1, 2015",Monaco,Man Utd,"8,00 mil. €","60,00 mil. €",,,,,,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jul 1, 2013",Olymp. Lyon B,Monaco,0,"5,00 mil. €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel James,21,170.0,Forward - Left Winger,right,Manchester United,,,,,,,,,,,,,,,,,,,,,"Jul 1, 2015",Swansea U18,Swansea U21,0,0,"Aug 31, 2017Jul 1, 2017",ShrewsburySwansea U23,Swansea U23Shrewsbury,0,End of loanLoan,Premier League,,,,,,,,,,,"Jul 1, 2014",Hull U18,Swansea U18,0,Free transfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jul 1, 2019",Swansea,Man Utd,"12,00 mil. €","17,00 mil. €",0,"Jul 1, 2018",Swansea U23,Swansea,0,,,,,,,,,,,,,,,,,,,,,,,,,
Jesse Lingard,26,174.0,Forward - Right Winger,right,Manchester United,,,,,,,,,,,"Jul 1, 2011",Man Utd U18,Man Utd U23,,,"Jan 2, 2013Nov 6, 2012Jul 1, 2012",LeicesterMan UtdMan Utd U23,Man UtdLeicesterMan Utd,,,,,,,,,,,,,Premier League,,,,,,,,,,,"May 31, 2015Feb 2, 2015",DerbyMan Utd,Man UtdDerby,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jul 1, 2008",Man Utd Youth,Man Utd U18,,,"May 31, 2014Feb 27, 2014Jan 2, 2014Sep 19, 2013",BrightonMan UtdBirminghamMan Utd,Man UtdBrightonMan UtdBirmingham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcus Rashford,21,185.0,Forward - Centre-Forward,right,Manchester United,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mason Greenwood,18,181.0,Forward - Centre-Forward,left,Manchester United,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bernd Leno,27,189.0,Goalkeeper,right,Arsenal FC,"Jul 1, 2009",Stuttgart U17,Stuttgart U19,0,,"Jul 1, 2010",Stuttgart U19,Stuttgart II,150 K €,,"Jan 1, 2012Dec 31, 2011Aug 10, 2011Jul 1, 2011",VfB StuttgartBay. LeverkusenVfB StuttgartStuttgart II,Bay. LeverkusenVfB StuttgartBay. LeverkusenVfB Stuttgart,"5,00 mil. €5,00 mil. €600 K €600 K €",,,,,,,,,,,,,,,,,Premier League,,,,,,,,,,,,,,,,,,,,,"Jul 1, 2003",Bietigheim Yth.,Stuttgart Yth.,0.0,,,,,,,,,,,,"Jul 1, 2007",Stuttgart Yth.,Stuttgart U17,0,,,,,,,,,,,,,,,,,"20,00 mil. €","Jul 1, 2018",Bay. Leverkusen,Arsenal,,,,,,,,,,,,,,,,,,,,,,,,,,
Emiliano Martínez,27,190.0,Goalkeeper,right,Arsenal FC,,,,,,"Jul 1, 2010",Indep'te U20,Arsenal U18,,,"May 7, 2012May 4, 2012Jul 1, 2011",Oxford UnitedArsenalArsenal U18,ArsenalOxford UnitedArsenal,,,,,,,,"May 31, 2016Aug 11, 2015",WolvesArsenal,ArsenalWolves,,,"Jun 30, 2018Aug 2, 2017",GetafeArsenal,ArsenalGetafe,,,Premier League,,,,,,,,,,,"May 4, 2015Mar 20, 2015",RotherhamArsenal,ArsenalRotherham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"May 31, 2014Oct 15, 2013",Sheff WedArsenal,ArsenalSheff Wed,,,,,,,,,"May 31, 2019Jan 23, 2019",ReadingArsenal,ArsenalReading,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Macey,25,199.0,Goalkeeper,right,Arsenal FC,,,,,,,,,,,"Jul 1, 2011",Bristol R. Yth.,Brist. Rov. U18,0,0,,,,,,"Jul 1, 2015",Arsenal U21,Arsenal,0,0,,,,,,Premier League,,,,,,,,,,,"Feb 8, 2015Jan 8, 2015",AccringtonArsenal U21,Arsenal U21Accrington,0,End of loanLoan,"Apr 5, 2017Jan 31, 2017",LutonArsenal,ArsenalLuton,500 K €500 K €,End of loanLoan,,,,,,,,,,,,,,,,,,,,,,,,,,"Oct 24, 2013",Brist. Rov. U18,Arsenal U21,0,140 K €,,,,,,500 K €500 K €,"May 31, 2019Jul 30, 2018",PlymouthArsenal,ArsenalPlymouth,End of loanLoan,,,,,,,,,,,,,,,,,,,,,,,,,
Sokratis,31,186.0,Defender - Centre-Back,right,Arsenal FC,,,,,,"Jul 20, 2010",Genoa,AC Milan,,"4,50 mil. €","Jun 30, 2012Jul 21, 2011Jul 1, 2011",Werder BremenGenoaAC Milan,GenoaWerder BremenGenoa,,"End of loanLoan fee:600 K €4,00 mil. €","Jul 1, 2012",Genoa,Werder Bremen,,"3,50 mil. €",,,,,,,,,,,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jun 30, 2006Jan 1, 2006Jul 1, 2005",Niki VolouAEK AthensAp. Petalidiou,AEK AthensNiki VolouAEK Athens,,End of loanLoanFree transfer,,,,,,"Aug 1, 2008",AEK Athens,Genoa,,"3,80 mil. €","Jul 1, 2013",Werder Bremen,Bor. Dortmund,,"9,90 mil. €",,,,,,,"Jul 2, 2018",Bor. Dortmund,Arsenal,"16,00 mil. €",,,,,,,,,,,,,,,,,,,,,,,,,
David Luiz,32,189.0,Defender - Centre-Back,right,Arsenal FC,,,,,,"Jan 31, 2011",Benfica,Chelsea,,"25,00 mil. €",,,,,,,,,,,,,,,,,,,,,Premier League,,,,,,"Jun 30, 2007Jan 1, 2007",BenficaEC Vitória,EC VitóriaBenfica,,End of loanLoan,"Jul 1, 2014",Chelsea,Paris SG,,"49,50 mil. €","Aug 31, 2016",Paris SG,Chelsea,,"35,00 mil. €",,,,,,,,,,,"Jan 1, 2006",Esporte Clube Vitória U19,EC Vitória,,0,"Jul 1, 2007",EC Vitória,Benfica,,500 K €,,,,,,,,,,,"Aug 8, 2019",Chelsea,Arsenal,,"8,70 mil. €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shkodran Mustafi,27,184.0,Defender - Centre-Back,right,Arsenal FC,"Jul 1, 2009",Hamburg U17,Everton U21,0,Free transfer,,,,,,"Jan 3, 2012",Everton U21,Sampdoria,75 K €,75 K €,,,,,,,,,,,,,,,,Premier League,,,,,,,,,,,"Aug 6, 2014",Sampdoria,Valencia,"7,00 mil. €","8,00 mil. €","Aug 30, 2016",Valencia,Arsenal,"20,00 mil. €","41,00 mil. €",,,,,,,,,,,,,,,,"Jul 1, 2007",Hamburg Yth.,Hamburg U17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calum Chambers,24,183.0,Defender - Centre-Back,right,Arsenal FC,,,,,,,,,,,,,,,,"Jul 1, 2012",Southampton U18,Southampton U21,0,0,,,,,,,,,,,Premier League,,,,,,,,,,,"Jul 28, 2014",Southampton,Arsenal,"2,00 mil. €","20,23 mil. €","May 31, 2017Aug 30, 2016",MiddlesbroughArsenal,ArsenalMiddlesbrough,"12,00 mil. €12,00 mil. €",End of loanLoan,,,,,,,,,,,,,,,,,,,,,,,,,,"Jul 1, 2013",Southampton U21,Southampton,0,0,,,,,,"14,00 mil. €14,00 mil. €","May 31, 2019Aug 7, 2018",FulhamArsenal,ArsenalFulham,End of loanLoan,,,,,,,,,,,,,,,,,,,,,,,,,
Rob Holding,24,189.0,Defender - Centre-Back,right,Arsenal FC,,,,,,,,,,,,,,,,,,,,,"Jul 1, 2015",Bolton U23,Bolton,0,0,,,,,,Premier League,,,,,,,,,,,"May 31, 2015Mar 26, 2015",BuryBolton U23,Bolton U23Bury,0,End of loanLoan,"Jul 22, 2016",Bolton,Arsenal,250 K €,"3,00 mil. €",,,,,,,,,,,,,,,,,,,,,,,,,,"Jul 1, 2013",Bolton U18,Bolton U23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Konstantinos Mavropanos,21,194.0,Defender - Centre-Back,right,Arsenal FC,,,,,,,,,,,,,,,,,,,,,"Jan 4, 2016",Apollon U20,PAS Giannina,0,Free transfer,"Jan 4, 2018",PAS Giannina,Arsenal,450 K €,"2,10 mil. €",Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kieran Tierney,22,178.0,Defender - Left-Back,left,Arsenal FC,,,,,,,,,,,,,,,,,,,,,"Dec 1, 2015",Celtic U20,Celtic,100 K €,0,,,,,,Premier League,,,,,,,,,,,"Jul 1, 2014",Celtic U17,Celtic U20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Aug 8, 2019",Celtic,Arsenal,"12,50 mil. €","27,00 mil. €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sead Kolasinac,26,183.0,Defender - Left-Back,left,Arsenal FC,"Jul 1, 2009",Karlsruhe U17,Hoffenheim U17,0,Free transfer,"Jan 1, 2011Jul 1, 2010",Stuttgart U19Hoffenheim U17,Schalke 04 U19Stuttgart U19,0,Free transferFree transfer,,,,,,"Jul 1, 2012",Schalke 04 U19,FC Schalke 04,0,0,,,,,,"Jul 1, 2017",FC Schalke 04,Arsenal,"15,00 mil. €",Free transfer,Premier League,"Jul 1, 2001",Karlsruhe Yth.,Karlsruhe Yth.,0.0,Free transfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jul 1, 2008",Karlsruhe Yth.,Karlsruhe U17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Héctor Bellerín,24,178.0,Defender - Right-Back,right,Arsenal FC,,,,,,"Jul 1, 2010",Barça U17,Barça U18,0,0,"Jul 1, 2011",Barça U18,Arsenal U18,0,500 K €,"Jul 1, 2012",Arsenal U18,Arsenal U21,0,0,,,,,,,,,,,Premier League,,,,,,,,,,,"Jul 1, 2014",Arsenal U21,Arsenal,500 K €,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Feb 18, 2014Nov 22, 2013",WatfordArsenal U21,Arsenal U21Watford,500 K €300 K €,End of loanLoan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucas Torreira,23,166.0,Midfielder - Defensive Midfield,right,Arsenal FC,,,,,,,,,,,,,,,,,,,,,"Jun 30, 2016Jul 2, 2015Jul 1, 2015",PescaraSampdoriaPescara,SampdoriaPescaraSampdoria,"1,50 mil. €800 K €800 K €","End of loanLoan3,00 mil. €",,,,,,Premier League,,,,,,,,,,,"Mar 1, 2015",Pescara U19,Pescara,50 K €,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jan 30, 2014",Wanderers U19,Pescara U19,0,?,,,,,,"30,00 mil. €","Jul 10, 2018",Sampdoria,Arsenal,"28,65 mil. €",,,,,,,,,,,,,,,,,,,,,,,,,
Granit Xhaka,27,186.0,Midfielder - Defensive Midfield,left,Arsenal FC,,,,,,"Jul 1, 2010",FC Basel U21,FC Basel,0,0,,,,,,"Jul 1, 2012",FC Basel,Bor. M'gladbach,"8,50 mil. €","8,50 mil. €",,,,,,,,,,,Premier League,,,,,,"Jul 1, 2006",FC Basel U15,FC Basel U16,0,0,,,,,,"Jul 1, 2016",Bor. M'gladbach,Arsenal,"35,00 mil. €","45,00 mil. €",,,,,,,,,,,"Jul 1, 2005",FC Basel Yth.,FC Basel U15,0,0,"Jul 1, 2007",FC Basel U16,FC Basel U18,0,0,"Jul 1, 2008",FC Basel U18,FC Basel U21,0,0,,,,,,,,,,,,,,,,"Jan 1, 2003",FCC Basel Yth.,FC Basel Yth.,0.0,Free transfer,,,,,,,,,,,,,,,,,,,,
Dani Ceballos,23,179.0,Midfielder - Central Midfield,right,Arsenal FC,,,,,,,,,,,,,,,,"Jul 1, 2012",Real Betis Yth.,Betis U19,0,0,"Jul 1, 2015",Betis B,Real Betis,"2,50 mil. €",0,"Jul 14, 2017",Real Betis,Real Madrid,"10,00 mil. €","16,50 mil. €",Premier League,,,,,,,,,,,"Jul 1, 2014",Betis U19,Betis B,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jul 25, 2019",Real Madrid,Arsenal,"30,00 mil. €",Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mattéo Guendouzi,20,184.0,Midfielder - Central Midfield,right,Arsenal FC,,,,,,,,,,,,,,,,,,,,,"Jan 1, 2016",FC Lorient U19,Lorient B,0,0,,,,,,Premier League,,,,,,,,,,,"Jul 1, 2014",Paris SG U17,FC Lorient U19,0,Free transfer,"Sep 23, 2016",Lorient B,FC Lorient,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,50 mil. €","Jul 11, 2018",FC Lorient,Arsenal,"8,00 mil. €",,,,,,,,,,,,,,,,,,,,,,,,,
Joe Willock,20,179.0,Midfielder - Central Midfield,right,Arsenal FC,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,0.0,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ainsley Maitland-Niles,22,180.0,Midfielder - Right Midfield,right,Arsenal FC,,,,,,,,,,,,,,,,,,,,,"May 31, 2016Jul 2, 2015",IpswichArsenal U21,Arsenal U21Ipswich,750 K €250 K €,End of loanLoan,"Jul 1, 2017",Arsenal U23,Arsenal,750 K €,0.0,Premier League,,,,,,,,,,,"Jul 1, 2014",Arsenal U18,Arsenal U21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mesut Özil,31,180.0,Midfielder - Attacking Midfield,left,Arsenal FC,,,,,,"Aug 17, 2010",Werder Bremen,Real Madrid,"27,00 mil. €","18,00 mil. €",,,,,,,,,,,,,,,,,,,,,Premier League,,,,,,"Jul 1, 2006",Schalke 04 U19,FC Schalke 04,75 K €,0,,,,,,,,,,,"Jul 1, 2003",Rot-Weiss Essen,RW Essen U17,0.0,0,,,,,,"Jul 1, 2005",RW Essen U17,Schalke 04 U19,0,Free transfer,"Jan 31, 2008",FC Schalke 04,Werder Bremen,"2,50 mil. €","5,00 mil. €",,,,,,"Sep 2, 2013",Real Madrid,Arsenal,"40,00 mil. €","47,00 mil. €",,,,,,,,,,,,,,,,"Jul 1, 1998",Westf. Ge. Yth.,T. Schalke Yth.,0.0,Free transfer,"Jul 1, 1999",T. Schalke Yth.,Falke Ge. Yth.,0.0,Free transfer,"Jul 1, 2000",Falke Ge. Yth.,Rot-Weiss Essen,0.0,Free transfer,,,,,
Gabriel Martinelli,18,180.0,Forward - Left Winger,right,Arsenal FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bukayo Saka,18,178.0,Forward - Left Winger,left,Arsenal FC U23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Nicolas Pépé,24,183.0,Forward - Right Winger,left,Arsenal FC,,,,,,,,,,,,,,,,,,,,,"Jun 30, 2016Jul 2, 2015Jul 1, 2015",US OrléansSCO AngersSCO Angers B,SCO AngersUS OrléansSCO Angers,0,,"Jul 1, 2017",SCO Angers,LOSC Lille,"3,00 mil. €",,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jul 1, 2013",Poitiers FC,SCO Angers B,0,,"Aug 1, 2019",LOSC Lille,Arsenal,"65,00 mil. €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reiss Nelson,19,175.0,Forward - Right Winger,right,Arsenal FC,,,,,,,,,,,,,,,,,,,,,"Jul 1, 2015",Arsenal FC Yout,Arsenal U18,,0,"Jul 1, 2017",Arsenal U18,Arsenal U23,,0,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jul 1, 2019",Arsenal U23,Arsenal,,0.0,,"Jun 30, 2019Aug 31, 2018",TSG HoffenheimArsenal U23,Arsenal U23TSG Hoffenheim,End of loanLoan fee:500 K €,,,,,,,,,,,,,,,,,,,,,,,,,
