name,age,height,position,foot,current club,09/10 date,09/10 left,09/10 joined,09/10 mv,09/10 fee,10/11 date,10/11 left,10/11 joined,10/11 mv,10/11 fee,11/12 date,11/12 left,11/12 joined,11/12 mv,11/12 fee,12/13 date,12/13 left,12/13 joined,12/13 mv,12/13 fee,15/16 date,15/16 left,15/16 joined,15/16 mv,15/16 fee,17/18 date,17/18 left,17/18 joined,17/18 mv,17/18 fee,current league,01/02 date,01/02 left,01/02 joined,01/02 mv,01/02 fee,06/07 date,06/07 left,06/07 joined,06/07 mv,06/07 fee,14/15 date,14/15 left,14/15 joined,14/15 mv,14/15 fee,16/17 date,16/17 left,16/17 joined,16/17 mv,16/17 fee,03/04 date,03/04 left,03/04 joined,03/04 mv,03/04 fee,04/05 date,04/05 left,04/05 joined,04/05 mv,04/05 fee,05/06 date,05/06 left,05/06 joined,05/06 mv,05/06 fee,07/08 date,07/08 left,07/08 joined,07/08 mv,07/08 fee,08/09 date,08/09 left,08/09 joined,08/09 mv,08/09 fee,13/14 date,13/14 left,13/14 joined,13/14 mv,13/14 fee,19/20 date,19/20 left,19/20 joined,19/20 mv,19/20 fee,18/19 mv,18/19 date,18/19 left,18/19 joined,18/19 fee,02/03 date,02/03 left,02/03 joined,02/03 mv,02/03 fee,98/99 date,98/99 left,98/99 joined,98/99 mv,98/99 fee,99/00 date,99/00 left,99/00 joined,99/00 mv,99/00 fee,00/01 date,00/01 left,00/01 joined,00/01 mv,00/01 fee,97/98 date,97/98 left,97/98 joined,97/98 mv,97/98 fee
João Cancelo,25,182.0,Defender - Right-Back,right,Manchester City,"Jul 1, 2009",Benfica U15,Benfica U17,0,,,,,,,"Jan 1, 2011",Benfica U17,Benfica U19,0,,"Jan 1, 2013",Benfica U19,Benfica B,"1,00 mil. €",,"Jul 1, 2015",Benfica,Valencia,"5,00 mil. €",,"Jun 30, 2018Aug 22, 2017",InterValencia,ValenciaInter,"35,00 mil. €20,00 mil. €",,Premier League,,,,,,,,,,,"Jun 30, 2015Aug 20, 2014Jul 1, 2014",ValenciaBenficaBenfica B,BenficaValenciaBenfica,"2,00 mil. €2,00 mil. €2,00 mil. €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Aug 7, 2019",Juventus,Man City,"55,00 mil. €",,"35,00 mil. €","Jul 1, 2018",Valencia,Juventus,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Walker,29,183.0,Defender - Right-Back,right,Manchester City,"Feb 1, 2010Aug 4, 2009Jul 22, 2009",Sheffield Utd.SpursSheffield Utd.,SpursSheffield Utd.Spurs,"3,00 mil. €50 K €50 K €",,"May 31, 2011Jan 5, 2011Dec 31, 2010Sep 13, 2010",Aston VillaSpursQPRSpurs,SpursAston VillaSpursQPR,"2,00 mil. €2,00 mil. €2,00 mil. €2,00 mil. €",,,,,,,,,,,,,,,,,"Jul 14, 2017",Spurs,Man City,"30,00 mil. €",,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jan 1, 2009Nov 1, 2008Jul 1, 2008",Northampt. TownSheffield Utd.Sheff Utd U18,Sheffield Utd.Northampt. TownSheffield Utd.,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodri,23,191.0,Midfielder - Defensive Midfield,right,Manchester City,,,,,,,,,,,,,,,,"Jul 1, 2012",Atlético Youth,Atlético Juv. B,0,0,"Jul 1, 2015",Villarreal U19,Villarreal CF B,0,0,,,,,,Premier League,,,,,,,,,,,,,,,,"Jul 1, 2016",Villarreal CF B,Villarreal,0,0,,,,,,,,,,,,,,,,"Jul 1, 2007",CF Rayo Majadaho,Atlético Youth,0,Free transfer,,,,,,"Jul 1, 2013",Atlético Juv. B,Villarreal U19,0,Free transfer,"Jul 4, 2019",Atlético Madrid,Man City,"80,00 mil. €","70,00 mil. €","25,00 mil. €","Jul 1, 2018",Villarreal,Atlético Madrid,"25,00 mil. €",,,,,,,,,,,,,,,,,,,,,,,,,
Fernandinho,34,179.0,Midfielder - Defensive Midfield,right,Manchester City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jul 1, 2005",Atlético-PR,Shakhtar D.,500 K €,"7,80 mil. €",,,,,,,,,,,"Jul 1, 2013",Shakhtar D.,Man City,"32,00 mil. €","40,00 mil. €",,,,,,,,,,,"Jul 1, 2002",Atlético-PR U20,Atlético-PR,0.0,0,,,,,,,,,,,,,,,,,,,,
Ilkay GÃ¼ndogan,28,180.0,Midfielder - Central Midfield,right,Manchester City,,,,,,,,,,,"Jul 1, 2011",1.FC Nuremberg,Bor. Dortmund,"6,50 mil. â‚¬","5,50 mil. â‚¬",,,,,,,,,,,,,,,,Premier League,,,,,,,,,,,,,,,,"Jul 1, 2016",Bor. Dortmund,Man City,"30,00 mil. â‚¬","27,00 mil. â‚¬",,,,,,"Jul 1, 2004",HeÃŸler 06 Yth.,SSV Buer Yth.,0,Free transfer,"Jul 1, 2005",SSV Buer Yth.,VfL Bochum U17,0,Free transfer,"Jul 1, 2007",VfL Bochum U17,VfL Bochum U19,0,0,"Feb 3, 2009",VfL Bochum U19,1.FC Nuremberg,100 K â‚¬,850 K â‚¬,,,,,,,,,,,,,,,,,,,,,"Jul 1, 1998",HeÃŸler 06 Yth.,Schalke 04 Yth.,0.0,Free transfer,"Jul 1, 1999",Schalke 04 Yth.,HeÃŸler 06 Yth.,0.0,Free transfer,,,,,,,,,,
Phil Foden,19,171.0,Midfielder - Central Midfield,left,Manchester City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,Premier League,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin De Bruyne,28,181.0,Midfielder - Attacking Midfield,right,Manchester City,,,,,,,,,,,"Jun 30, 2012Feb 1, 2012Jan 31, 2012",KRC GenkChelseaKRC Genk,ChelseaKRC GenkChelsea,"9,00 mil. €9,00 mil. €9,00 mil. €","End of loanLoan8,00 mil. €","Jun 30, 2013Aug 2, 2012",Werder BremenChelsea,ChelseaWerder Bremen,"10,00 mil. €9,00 mil. €",End of loanLoan fee:450 K €,"Aug 30, 2015",VfL Wolfsburg,Man City,"45,00 mil. €","76,00 mil. €",,,,,,Premier League,,,,,,"Jul 1, 2006",KRC Genk Youth,KRC Genk U17,0,0,,,,,,,,,,,,,,,,,,,,,"Jul 1, 2005",KAA Gent Youth,KRC Genk Youth,0,Free transfer,"Jul 1, 2007",KRC Genk U17,KRC Genk U19,0,0,"Jul 1, 2008",KRC Genk U19,KRC Genk,0,0,"Jan 18, 2014",Chelsea,VfL Wolfsburg,"15,00 mil. €","22,00 mil. €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Silva,33,170.0,Midfielder - Attacking Midfield,left,Manchester City,,,,,,"Jul 14, 2010",Valencia,Man City,,,,,,,,,,,,,,,,,,,,,,,Premier League,,,,,,,,,,,,,,,,,,,,,"Jul 1, 2003",Valencia U19,Valencia B,,,"Jun 30, 2005Aug 2, 2004Jul 1, 2004",SD EibarValenciaValencia B,ValenciaSD EibarValencia,,,"Jun 30, 2006Aug 8, 2005",Celta de VigoValencia,ValenciaCelta de Vigo,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jul 1, 2002",Valencia CF You,Valencia U19,,,,,,,,,,,,,,,,,,,,,,
Raheem Sterling,24,170.0,Forward - Left Winger,right,Manchester City,"Feb 16, 2010",QPR U18,Liverpool U18,0,700 K €,,,,,,,,,,,"Jul 1, 2012",Liverpool U18,Liverpool,0,0,"Jul 14, 2015",Liverpool,Man City,"40,00 mil. €","63,70 mil. €",,,,,,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leroy Sané,23,184.0,Forward - Left Winger,left,Manchester City,,,,,,,,,,,"Jul 1, 2011",Leverkusen Yth.,Schalke 04 U17,0,Free transfer,,,,,,"Jul 1, 2015",Schalke 04 U19,FC Schalke 04,"4,00 mil. €",0,,,,,,Premier League,,,,,,,,,,,,,,,,"Aug 2, 2016",FC Schalke 04,Man City,"30,00 mil. €","50,50 mil. €",,,,,,,,,,,"Jul 1, 2005",Wattensch. Yth.,Schalke 04 Yth.,0,Free transfer,,,,,,"Jul 1, 2008",Schalke 04 Yth.,Leverkusen Yth.,0,Free transfer,"Jul 1, 2013",Schalke 04 U17,Schalke 04 U19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
