,name,age,height,position,current club,19/20 games,19/20 goals,19/20 assists,19/20 minutes
335,Ben Mee,29,180.0,W,Burnley FC,4.0,0.0,0.0,360.0
336,Ben Gibson,26,185.0,W,Burnley FC,1.0,0.0,0.0,90.0
337,Kevin Long,29,188.0,W,Burnley FC,1.0,0.0,0.0,90.0
338,Charlie Taylor,25,176.0,W,Burnley FC,1.0,0.0,0.0,90.0
339,Erik Pieters,31,183.0,W,Burnley FC,4.0,0.0,2.0,360.0
340,Matthew Lowton,30,180.0,W,Burnley FC,5.0,0.0,0.0,372.0
341,Phil Bardsley,34,180.0,W,Burnley FC,1.0,0.0,0.0,78.0
342,Jack Cork,30,185.0,W,Burnley FC,4.0,0.0,0.0,360.0
343,Ashley Westwood,29,174.0,W,Burnley FC,4.0,0.0,0.0,360.0
344,Jeff Hendrick,27,185.0,W,Burnley FC,2.0,0.0,0.0,94.0
345,Danny Drinkwater,29,177.0,W,Burnley FC,1.0,0.0,0.0,90.0
346,Robbie Brady,27,176.0,W,Burnley FC,,,,
347,Dwight McNeil,19,183.0,W,Burnley FC,5.0,0.0,1.0,440.0
348,Johann Berg Gudmundsson,28,186.0,W,Burnley FC,3.0,1.0,0.0,228.0
349,Aaron Lennon,32,165.0,W,Burnley FC,5.0,0.0,0.0,207.0
350,Chris Wood,27,191.0,CF,Burnley FC,5.0,0.0,0.0,352.0
351,Ashley Barnes,29,186.0,CF,Burnley FC,4.0,4.0,0.0,325.0
352,Jay Rodríguez,30,185.0,CF,Burnley FC,5.0,1.0,0.0,154.0
353,Matej Vydra,27,180.0,CF,Burnley FC,1.0,0.0,1.0,90.0
354,Shane Duffy,27,193.0,W,Brighton & Hove Albion,3.0,0.0,0.0,270.0
355,Lewis Dunk,27,192.0,W,Brighton & Hove Albion,4.0,0.0,1.0,360.0
356,Adam Webster,24,190.0,W,Brighton & Hove Albion,2.0,0.0,0.0,180.0
357,Dan Burn,27,201.0,W,Brighton & Hove Albion,4.0,0.0,0.0,360.0
358,Leon Balogun,31,190.0,W,Brighton & Hove Albion,1.0,0.0,0.0,90.0
359,Bernardo,24,186.0,W,Brighton & Hove Albion,3.0,0.0,0.0,157.0
360,Gaëtan Bong,31,183.0,W,Brighton & Hove Albion,1.0,0.0,0.0,90.0
361,Martín Montoya,28,175.0,W,Brighton & Hove Albion,4.0,0.0,0.0,360.0
362,Ezequiel Schelotto,30,187.0,W,Brighton & Hove Albion,,,,
363,Tudor Baluta,20,191.0,W,Brighton & Hove Albion,1.0,0.0,0.0,60.0
364,Yves Bissouma,23,182.0,W,Brighton & Hove Albion,,,,
365,Davy Pröpper,28,185.0,W,Brighton & Hove Albion,4.0,0.0,1.0,360.0
366,Aaron Mooy,28,179.0,W,Brighton & Hove Albion,3.0,0.0,0.0,185.0
367,Pascal Groß,28,181.0,W,Brighton & Hove Albion,5.0,0.0,1.0,275.0
368,Dale Stephens,29,185.0,W,Brighton & Hove Albion,4.0,0.0,0.0,348.0
369,Solly March,25,180.0,W,Brighton & Hove Albion,4.0,0.0,0.0,338.0
370,Leandro Trossard,24,172.0,W,Brighton & Hove Albion,3.0,1.0,0.0,249.0
371,José Izquierdo,27,171.0,W,Brighton & Hove Albion,,,,
372,Alireza Jahanbakhsh,26,180.0,W,Brighton & Hove Albion,1.0,0.0,0.0,90.0
373,Neal Maupay,23,173.0,CF,Brighton & Hove Albion,4.0,1.0,0.0,190.0
374,Glenn Murray,35,186.0,CF,Brighton & Hove Albion,5.0,1.0,0.0,267.0
375,James Chester,30,177.0,W,Aston Villa,,,,
376,BjÃ¶rn Engels,24,194.0,W,Aston Villa,4.0,0.0,0.0,360.0
377,Tyrone Mings,26,195.0,W,Aston Villa,4.0,0.0,1.0,360.0
378,Ezri Konsa,21,183.0,W,Aston Villa,1.0,1.0,0.0,90.0
379,Kortney Hause,24,191.0,W,Aston Villa,1.0,0.0,0.0,90.0
380,Matt Targett,23,183.0,W,Aston Villa,1.0,0.0,0.0,43.0
381,Neil Taylor,30,176.0,W,Aston Villa,4.0,0.0,0.0,360.0
382,Frédéric Guilbert,24,178.0,W,Aston Villa,3.0,1.0,0.0,227.0
383,Ahmed Elmohamady,31,182.0,W,Aston Villa,4.0,0.0,0.0,274.0
384,Marvelous Nakamba,25,177.0,W,Aston Villa,1.0,0.0,0.0,90.0
385,John McGinn,24,178.0,W,Aston Villa,4.0,1.0,1.0,360.0
386,Conor Hourihane,28,181.0,W,Aston Villa,3.0,2.0,0.0,191.0
387,Douglas Luiz,21,178.0,W,Aston Villa,4.0,1.0,0.0,259.0
388,Henri Lansbury,28,183.0,W,Aston Villa,2.0,0.0,3.0,95.0
389,Jack Grealish,23,175.0,W,Aston Villa,5.0,1.0,2.0,382.0
390,Trezeguet,24,179.0,W,Aston Villa,4.0,0.0,0.0,286.0
391,Anwar El Ghazi,24,189.0,W,Aston Villa,4.0,1.0,1.0,268.0
392,Jota,28,180.0,W,Aston Villa,5.0,0.0,1.0,251.0
393,Wesley,22,191.0,CF,Aston Villa,4.0,1.0,0.0,339.0
394,Jonathan Kodjia,29,189.0,CF,Aston Villa,1.0,0.0,0.0,16.0
395,Keinan Davis,21,178.0,CF,Aston Villa,3.0,1.0,0.0,115.0
396,Ben Godfrey,21,183.0,W,Norwich City,5.0,0.0,0.0,423.0
397,Christoph Zimmermann,26,194.0,W,Norwich City,2.0,0.0,0.0,92.0
398,Grant Hanley,27,188.0,W,Norwich City,3.0,0.0,0.0,270.0
399,Timm Klose,31,195.0,W,Norwich City,1.0,0.0,0.0,27.0
400,Jamal Lewis,21,,W,Norwich City,4.0,0.0,0.0,360.0
401,Philip Heise,28,184.0,W,Norwich City,1.0,0.0,0.0,90.0
402,Max Aarons,19,178.0,W,Norwich City,5.0,0.0,0.0,364.0
403,Sam Byram,25,183.0,W,Norwich City,2.0,0.0,0.0,86.0
404,Ibrahim Amadou,26,183.0,W,Norwich City,2.0,0.0,0.0,143.0
405,Tom Trybull,26,181.0,W,Norwich City,4.0,0.0,0.0,328.0
406,Alexander Tettey,33,181.0,W,Norwich City,1.0,0.0,0.0,3.0
407,Mario Vrancic,30,187.0,W,Norwich City,3.0,0.0,0.0,105.0
408,Moritz Leitner,26,174.0,W,Norwich City,4.0,0.0,0.0,293.0
409,Kenny McLean,27,180.0,W,Norwich City,4.0,0.0,0.0,201.0
410,Todd Cantwell,21,177.0,W,Norwich City,4.0,1.0,2.0,348.0
411,Marco Stiepermann,28,190.0,W,Norwich City,4.0,0.0,0.0,301.0
412,Onel Hernández,26,172.0,W,Norwich City,1.0,0.0,0.0,20.0
413,Emiliano Buendía,22,172.0,W,Norwich City,5.0,0.0,2.0,395.0
414,Patrick Roberts,22,167.0,W,Norwich City,1.0,0.0,0.0,90.0
415,Teemu Pukki,29,180.0,CF,Norwich City,4.0,5.0,1.0,353.0
416,Josip Drmic,27,184.0,CF,Norwich City,2.0,0.0,0.0,19.0
417,Dennis Srbeny,25,190.0,CF,Norwich City,2.0,0.0,0.0,99.0
418,Jack O'Connell,25,191.0,W,Sheffield United,4.0,0.0,0.0,360.0
419,John Egan,26,185.0,W,Sheffield United,4.0,0.0,0.0,360.0
420,Chris Basham,31,190.0,W,Sheffield United,4.0,0.0,0.0,334.0
421,Phil Jagielka,37,180.0,W,Sheffield United,3.0,0.0,0.0,92.0
422,Richard Stearman,32,191.0,W,Sheffield United,1.0,1.0,0.0,90.0
423,Kean Bryan,22,185.0,W,Sheffield United,1.0,0.0,0.0,24.0
424,Enda Stevens,29,183.0,W,Sheffield United,5.0,0.0,1.0,426.0
425,Kieron Freeman,27,178.0,W,Sheffield United,1.0,0.0,0.0,90.0
426,George Baldock,26,178.0,W,Sheffield United,4.0,0.0,1.0,360.0
427,Muhamed Besic,26,180.0,W,Sheffield United,1.0,0.0,0.0,90.0
428,John Fleck,28,169.0,W,Sheffield United,2.0,0.0,0.0,58.0
429,Oliver Norwood,28,175.0,W,Sheffield United,5.0,1.0,0.0,426.0
430,John Lundstram,25,181.0,W,Sheffield United,4.0,2.0,0.0,348.0
431,Ben Osborn,25,176.0,W,Sheffield United,2.0,0.0,0.0,96.0
432,Luke Freeman,27,176.0,W,Sheffield United,6.0,0.0,0.0,347.0
433,Ravel Morrison,26,175.0,W,Sheffield United,2.0,0.0,1.0,102.0
434,Callum Robinson,24,178.0,W,Sheffield United,4.0,1.0,0.0,256.0
435,Ricky Holmes,32,188.0,W,Sheffield United,,,,
436,Oliver McBurnie,23,188.0,CF,Sheffield United,6.0,1.0,0.0,239.0
437,Lys Mousset,23,184.0,CF,Sheffield United,2.0,0.0,0.0,35.0
438,Billy Sharp,33,175.0,CF,Sheffield United,3.0,1.0,0.0,134.0
439,David McGoldrick,31,184.0,CF,Sheffield United,4.0,0.0,0.0,232.0
440,Leon Clarke,34,188.0,CF,Sheffield United,,,,
