,name,age,height,position,current club,19/20 games,19/20 goals,19/20 assists,19/20 minutes
64,Fikayo Tomori,21,185.0,W,Chelsea FC,2.0,0.0,0.0,125.0
65,Michael Hector,27,193.0,W,Chelsea FC,,,,
66,Marcos Alonso,28,188.0,W,Chelsea FC,1.0,0.0,0.0,0.0
67,Emerson,25,175.0,W,Chelsea FC,5.0,0.0,0.0,480.0
68,César Azpilicueta,30,178.0,W,Chelsea FC,5.0,0.0,1.0,480.0
69,Reece James,19,182.0,W,Chelsea FC,,,,
70,Jorginho,27,180.0,W,Chelsea FC,5.0,1.0,0.0,444.0
71,N'Golo Kanté,28,168.0,W,Chelsea FC,3.0,0.0,0.0,227.0
72,Mateo Kovacic,25,177.0,W,Chelsea FC,5.0,0.0,1.0,384.0
73,Ross Barkley,25,185.0,W,Chelsea FC,4.0,0.0,0.0,227.0
74,Ruben Loftus-Cheek,23,191.0,W,Chelsea FC,,,,
75,Marco van Ginkel,26,186.0,W,Chelsea FC,,,,
76,Mason Mount,20,178.0,W,Chelsea FC,5.0,2.0,0.0,406.0
77,Callum Hudson-Odoi,18,177.0,W,Chelsea FC,,,,
78,Christian Pulisic,20,172.0,W,Chelsea FC,5.0,0.0,2.0,351.0
79,Willian,31,175.0,W,Chelsea FC,3.0,0.0,0.0,55.0
80,Pedro,32,167.0,W,Chelsea FC,3.0,0.0,0.0,300.0
81,Michy Batshuayi,25,184.0,CF,Chelsea FC,2.0,2.0,1.0,96.0
82,Tammy Abraham,21,190.0,CF,Chelsea FC,5.0,4.0,1.0,300.0
83,Olivier Giroud,32,193.0,CF,Chelsea FC,4.0,1.0,0.0,174.0
84,Harry Maguire,26,194.0,W,Manchester United,4.0,0.0,0.0,360.0
85,Victor Lindelöf,25,187.0,W,Manchester United,4.0,0.0,0.0,360.0
86,Eric Bailly,25,187.0,W,Manchester United,,,,
87,Phil Jones,27,185.0,W,Manchester United,,,,
88,Marcos Rojo,29,186.0,W,Manchester United,0.0,0.0,0.0,0.0
89,Axel Tuanzebe,21,184.0,W,Manchester United,0.0,0.0,0.0,0.0
90,Luke Shaw,24,181.0,W,Manchester United,3.0,0.0,0.0,214.0
91,Ashley Young,34,176.0,W,Manchester United,2.0,0.0,0.0,146.0
92,Aaron Wan-Bissaka,21,183.0,W,Manchester United,4.0,0.0,0.0,360.0
93,Diogo Dalot,20,183.0,W,Manchester United,,,,
94,Timothy Fosu-Mensah,21,190.0,W,Manchester United,,,,
95,Nemanja Matic,31,194.0,W,Manchester United,1.0,0.0,0.0,22.0
96,Paul Pogba,26,191.0,W,Manchester United,4.0,0.0,2.0,360.0
97,Fred,26,169.0,W,Manchester United,,,,
98,Scott McTominay,22,193.0,W,Manchester United,4.0,0.0,1.0,347.0
99,Juan Mata,31,170.0,W,Manchester United,4.0,0.0,0.0,86.0
100,Andreas Pereira,23,178.0,W,Manchester United,3.0,0.0,1.0,143.0
101,Anthony Martial,23,183.0,W,Manchester United,3.0,2.0,1.0,270.0
102,Daniel James,21,170.0,W,Manchester United,4.0,3.0,0.0,285.0
103,Jesse Lingard,26,174.0,W,Manchester United,4.0,0.0,0.0,245.0
104,Marcus Rashford,21,185.0,CF,Manchester United,4.0,2.0,1.0,355.0
105,Mason Greenwood,17,181.0,CF,Manchester United,4.0,0.0,0.0,47.0
106,Shkodran Mustafi,27,184.0,W,Arsenal FC,,,,
107,Sokratis,31,186.0,W,Arsenal FC,4.0,0.0,0.0,360.0
108,David Luiz,32,189.0,W,Arsenal FC,3.0,0.0,0.0,270.0
109,Calum Chambers,24,183.0,W,Arsenal FC,1.0,0.0,0.0,90.0
110,Rob Holding,23,189.0,W,Arsenal FC,2.0,0.0,0.0,153.0
111,Konstantinos Mavropanos,21,194.0,W,Arsenal FC,,,,
112,Sead Kolasinac,26,183.0,W,Arsenal FC,2.0,0.0,0.0,109.0
113,Kieran Tierney,22,178.0,W,Arsenal FC,,,,
114,Héctor Bellerín,24,178.0,W,Arsenal FC,,,,
115,Lucas Torreira,23,166.0,W,Arsenal FC,3.0,1.0,0.0,99.0
116,Granit Xhaka,26,186.0,W,Arsenal FC,3.0,0.0,0.0,270.0
117,Mattéo Guendouzi,20,184.0,W,Arsenal FC,4.0,0.0,1.0,356.0
118,Dani Ceballos,23,179.0,W,Arsenal FC,4.0,0.0,2.0,197.0
119,Joe Willock,20,179.0,W,Arsenal FC,3.0,0.0,0.0,235.0
120,Ainsley Maitland-Niles,22,180.0,W,Arsenal FC,4.0,0.0,1.0,360.0
121,Mesut Özil,30,180.0,W,Arsenal FC,0.0,0.0,0.0,0.0
122,Gabriel Martinelli,18,180.0,W,Arsenal FC,1.0,0.0,0.0,6.0
123,Nicolas Pépé,24,183.0,W,Arsenal FC,4.0,0.0,1.0,243.0
124,Reiss Nelson,19,175.0,W,Arsenal FC,2.0,0.0,0.0,116.0
125,Alexandre Lacazette,28,176.0,CF,Arsenal FC,3.0,2.0,0.0,147.0
126,Pierre-Emerick Aubameyang,30,187.0,CF,Arsenal FC,4.0,3.0,0.0,360.0
127,Michael Keane,26,188.0,W,Everton FC,5.0,0.0,0.0,450.0
