,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
384,0,3,32,0.0,0.0,0,18867,-1,1,-3,3,45.1,0,4,0.0,0.0,0,Billy,-0.2,2,1,12.5,298,False,37.2,64,Suspended until 05 Oct,2019-09-14T17:00:16.602437Z,57,0,0,0,18867.jpg,2.3,1,0,Sharp,0.4,False,,s,15,49,43.0,7,47796,33,85543,3361,0.0,1.2,Sharp,0
385,0,0,0,,,0,213280,0,0,-1,1,0.0,0,1,-1.5,-0.5,0,Jake,0.0,0,0,0.0,299,False,0.0,0,,,44,0,0,0,213280.jpg,0.0,0,0,Eastwood,0.2,False,,a,15,49,0.0,0,1206,109,7227,373,0.0,0.0,Eastwood,0
386,0,0,0,0.0,0.0,0,59614,0,0,-2,2,0.0,0,3,0.0,0.0,0,Mark,0.0,0,0,0.0,300,False,0.0,0,Joined Stoke City on loan until the end of the season on 8/8. - Expected back 01 Jul,2019-08-08T17:30:15.368429Z,53,0,0,0,59614.jpg,0.0,0,0,Duffy,0.0,False,,n,15,49,0.0,0,101,12,4545,82,0.0,0.0,Duffy,0
387,0,0,40,100.0,100.0,1,47247,0,0,-2,2,99.8,0,3,-0.5,0.5,3,John,1.0,2,0,21.8,301,False,52.2,298,,2019-08-18T16:00:08.379574Z,48,0,0,0,47247.jpg,1.5,0,0,Fleck,0.1,False,,a,15,49,66.0,6,682,132,6678,164,0.2,1.2,Fleck,2
388,1,0,100,,,2,79934,0,0,-1,1,187.8,0,3,1.3,2.3,5,Oliver,2.8,6,0,32.2,302,False,112.0,513,,,49,0,0,0,79934.jpg,2.7,0,0,Norwood,0.3,False,,a,15,49,23.0,16,7949,1158,15477,830,0.6,3.3,Norwood,1
389,0,0,7,100.0,100.0,1,27436,0,0,0,0,17.6,0,4,-0.5,0.5,0,David,1.0,3,0,16.4,303,False,32.8,320,,2019-09-12T10:30:12.044069Z,55,0,0,0,27436.jpg,1.6,0,0,McGoldrick,0.2,False,,a,15,49,114.0,8,20457,583,22199,1625,0.2,1.5,McGoldrick,0
390,0,0,83,,,2,40386,0,0,0,0,27.4,0,2,1.0,2.0,6,Chris,2.5,6,0,15.5,423,False,100.4,504,,,45,0,0,0,40386.jpg,3.0,0,0,Basham,0.2,False,,a,15,49,27.0,18,5272,255,4813,318,0.6,4.0,Basham,0
391,0,0,0,,,0,74854,0,0,-1,1,0.0,0,1,-1.5,-0.5,0,Simon,0.0,0,0,0.0,436,False,0.0,0,,,44,0,0,0,74854.jpg,0.0,0,0,Moore,0.1,False,,a,15,49,0.0,0,454,44,2336,156,0.0,0.0,Moore,0
392,0,0,20,,,1,49083,-1,1,-2,2,53.6,0,3,-0.5,0.5,0,Luke,1.0,4,0,10.3,441,False,32.6,241,,,53,0,0,0,49083.jpg,1.8,0,0,Freeman,0.1,False,,a,15,49,17.0,7,1687,63,5454,423,0.2,1.3,Freeman,1
393,0,0,10,,,0,7645,-1,1,-2,2,0.0,0,2,-1.3,-0.3,1,Phil,0.2,0,0,1.8,444,False,18.4,27,,,43,0,0,0,7645.jpg,1.0,0,0,Jagielka,0.5,False,,a,15,49,0.0,2,4287,661,25355,1282,0.0,0.5,Jagielka,0
